Date,Brand,Product,Category,Key_Ingredients,Price_INR,Price_USD,Threat_Level,Direct_Competitor,Notes
2026-05-02,COSRX,Advanced Snail 96 Mucin Power Essence,Essence,"Snail Mucin, Hyaluronic Acid",1087,13.02,HIGH,YES,"A highly popular K-beauty essence in India, directly competing with Joyun's Vegan Mucin Essence. Its strong market presence and similar 'mucin' concept require Joyun to emphasize its vegan differentiation."
2026-05-02,ANUA,Heartleaf 77% Soothing Toner,Toner,Heartleaf Extract (Houttuynia Cordata),1100,13.17,MEDIUM,NO,"A viral K-beauty toner in India, focusing on soothing and skin barrier support. Represents a popular category (toner) that Joyun currently lacks, and highlights the strong 'soothing' trend."
2026-05-02,SKIN1004,Madagascar Centella Ampoule,Ampoule,Centella Asiatica Extract,1470,17.6,HIGH,YES,"A popular K-beauty ampoule/serum leveraging Centella, a trending soothing and barrier-repair ingredient. Directly competes in the serum category with Joyun's PDRN serum."
2026-05-02,Biodance,Collagen Gel Toner Pad,Toner Pad,"Hydrolyzed Collagen, Oligo-hyaluronic acid, Galactomyces Ferment Filtrate (Probiotics)",1932,23.14,MEDIUM,NO,"Combines a trending format (toner pads) with popular ingredients (collagen, probiotics) and a focus on skin elasticity and barrier. Represents a category gap for Joyun."
2026-05-02,ZIGTAG,PDRN & Energy Boost Toner Pads,Toner Pad,PDRN,,,HIGH,YES,"This product directly combines Joyun's hero ingredient (PDRN) with a highly popular and convenient format (toner pads), posing a significant competitive threat in terms of delivery innovation."
2026-05-02,The INKEY List,Exosome Hydro-Glow Complex,Serum,Exosomes (Cica-derived),1837,22.0,MEDIUM,NO,"An accessible exosome-based serum, signaling the entry of this advanced ingredient into more mainstream price points. Competes in the serum category with Joyun's PDRN."
2026-05-02,Exoceuticals,EXO H-SERUM™ Hyaluronic Acid Treatment / eXo³ Exosomes®,Serum,"eXo³ Exosomes®, Hyaluronic Acid",18700,224.0,LOW,NO,"Represents the high-end segment of exosome skincare, indicating the premiumization potential of this emerging ingredient. Not a direct price competitor but shows market direction."
2026-05-02,Illiyoon,Probiotics Skin Barrier Cica Balm,Balm,"TECA Centella Complex, Ceramide NP, Cholesterol, Postbiotic Ferment Blend",1670,20.0,ADJACENT,NO,"Combines multiple trending ingredients (postbiotics, cica, ceramides) with a strong 'skin barrier' focus in a balm format, highlighting key market demands."
2026-05-02,Glossier,After Baume Moisture Barrier Recovery Cream,Cream,"Postbiotic Ferment, Cupuaçu Butter, Babassu Oil",,,ADJACENT,NO,"A product strongly positioned around 'moisture barrier recovery' and 'postbiotic ferment', reinforcing the importance of these trends for sensitive and dry skin."
2026-05-02,SKIN1004,Madagascar Centella Ampoule Foam,Cleanser,Centella Asiatica,1000,11.99,ADJACENT,NO,"A cleanser featuring a popular soothing ingredient (Centella), indicating the demand for gentle, active-infused cleansing options, a category gap for Joyun."
2026-05-02,J-Beauty Trend,Bio-fermented actives,Other,"Lactobacillus, yeast-derived peptides, fermented rice bran extract",,,ADJACENT,NO,"J-Beauty is heavily emphasizing bio-fermented actives for enhanced absorption and reduced inflammation, a trend Joyun's vegan mucin (a fermented ingredient) can align with."
2026-05-02,K-Beauty Trend,Intentional Maximalism & Biotech Ingredients,Other,"Vegan PDRN, Snow Mushroom, Exosomes, Postbiotic lysates",,,ADJACENT,NO,"K-beauty is shifting towards fewer, multi-active products and advanced biotech ingredients, which aligns well with Joyun's existing PDRN and vegan mucin offerings."
2026-05-02,Global Skincare Trend,Skin Barrier Repair Focus,Other,"Ceramides, Prebiotics, Postbiotics, Gentle anti-inflammatory ingredients",,,ADJACENT,NO,"The overarching trend for 2026 is a move away from aggressive exfoliation towards supporting and protecting the skin barrier, a foundational philosophy Joyun can embrace."
2026-05-02,Global Skincare Trend,Adaptogen Skincare,Other,"Ginseng, Ashwagandha, Rhodiola",,,ADJACENT,NO,"Adaptogens are gaining traction for their stress-fighting benefits and ability to help skin adapt to environmental stressors, offering a new angle for calming and balancing formulations."
