Date,Brand,Product,Category,Key_Ingredients,Price_INR,Price_USD,Threat_Level,Direct_Competitor,Notes
2026-05-03,Blue Heaven,Vegan Mucin Face Serum,Serum,Plant-based mucin,225,2.7,HIGH,YES,"An Indian brand offering a vegan mucin serum at a very competitive price, directly challenging Joyun's ROSE-03."
2026-05-03,Plum Goodness,Cica + Hya-Betaine Vegan Mucin Face Essence,Essence,"Vegan mucin, Cica, Hyaluronic Acid, Betaine",663,7.94,HIGH,YES,"A well-known Indian brand with a vegan mucin essence, positioned at a higher price point than Joyun's ROSE-03 but with added soothing and hydrating ingredients."
2026-05-03,The Face Shop,Alltimate Vegan Mucin Peptide 8 Serum,Serum,"Plant-derived mucin (wild yam root), 8 peptides",1350,16.17,HIGH,YES,"Offers a vegan mucin serum with added peptide benefits, indicating a trend towards multi-functional formulations in the vegan mucin space."
2026-05-03,COSRX,Advanced Snail 96 Mucin Power Essence,Essence,"Snail Secretion Filtrate (96%), Hyaluronic Acid",1650,19.76,HIGH,YES,"A top-selling K-beauty essence that sets a benchmark for mucin-based products, offering intense hydration and skin repair."
2026-05-03,Medicube,Peptide PDRN Pink Peptide Serum,Serum,"PDRN, Pink Peptide Complex",1874,22.44,HIGH,YES,"Combines PDRN with peptides for intensive anti-aging and regeneration, directly competing with Joyun's PDRN serum at a higher price point."
2026-05-03,Renee,Pink Therapy PDRN Pink Peptide Serum,Serum,"PDRN, Pink Peptide",527,6.31,HIGH,YES,"An Indian brand offering a PDRN and peptide serum at a significantly lower price point than Joyun's ROSE-04, increasing competitive pressure."
2026-05-03,Hyphen,10% Peptide With 2% Copper Peptide Face Serum,Serum,"10% Peptides, 2% Copper Peptide",616,7.38,MEDIUM,NO,"A peptide-focused serum targeting anti-aging and firmness, offering a different active ingredient approach but similar benefits to Joyun's PDRN serum."
2026-05-03,Pilgrim,5 Ceramides Barrier Repair Moisturizer,Moisturizer,5 Ceramides,29,0.35,LOW,NO,"An extremely affordable Indian moisturizer capitalizing on the strong 'skin barrier repair' trend, highlighting the importance of this positioning."
2026-05-03,COSRX,PDRN Exosome Skinplanning Glaze Mask,Overnight Mask,"PDRN, Plant-derived Exosomes, Hyaluronic Acid, Niacinamide",1500,17.96,MEDIUM,NO,"Combines Joyun's core PDRN with emerging exosomes in an innovative overnight mask format, showcasing advanced ingredient combinations and delivery."
2026-05-03,ClayCo,Brightening Rice & Sake Sleep Mask with Vitamin C,Overnight Mask,"Rice, Sake, Vitamin C",989,11.84,LOW,NO,"An Indian brand offering a popular overnight mask with fermented ingredients (rice, sake) and Vitamin C, tapping into both format and ingredient trends."
2026-05-03,Wild Oak,96% Snail Mucin Hydrating Serum,Serum,Snail Secretion Filtrate (96%),500,5.99,MEDIUM,NO,"An Indian brand offering a high-concentration snail mucin serum, also promoting its use for body care, indicating a broader application for mucin-type ingredients."
2026-05-03,Dot & Key,Vitamin C + E Lip Plumping Mask,Lip Care,"Vitamin C, Vitamin E",207,2.48,ADJACENT,NO,"Highlights a popular product in the lip care category, which is a potential category gap for Joyun."
2026-05-03,UBeauty,The Barrier Bioactive Mist,Other,Postbiotic ferment,3173,38,ADJACENT,NO,"An innovative format (mist) with a cutting-edge ingredient (postbiotic ferment) focused on barrier support, reflecting premium market trends."
2026-05-03,Asaya,Rose Gel Moisturiser,Moisturizer,India Rose Extract,400,4.79,LOW,NO,"An Indian brand leveraging rose extract in a gel moisturizer format, relevant to Joyun's use of rose extracts in different product types."
2026-05-03,NATURALS BY WATSONS,Luv 10/10 Cica Exosome Body Cleanser,Body Care,Cica Exosome,600,7.19,ADJACENT,NO,"Showcases the expansion of advanced ingredients like exosomes into body care and the category of cleansers, a potential growth area for Joyun."
