Date,Brand,Product,Category,Key_Ingredients,Price_INR,Price_USD,Threat_Level,Direct_Competitor,Notes
2026-04-29,Medicube (APR),PDRN Pink Peptide Serum,Serum,"PDRN, Peptides",1753.5,21.0,HIGH,YES,"Direct competitor to Joyun's PDRN serum, launched in India via Nykaa. Indicates a growing premium segment for PDRN."
2026-04-29,Medicube (APR),Collagen Night Wrapping Mask,Mask,Collagen,1753.5,21.0,MEDIUM,NO,"Popular K-beauty brand entering India with an overnight mask, a format innovation."
2026-04-29,Dot & Key,Strawberry Dew Tinted Sunscreen SPF 50+ PA++++,Sunscreen,"SPF 50+, Tint",549.0,6.57,LOW,NO,"Example of a hybrid product and a category gap for Joyun, aligning with the trend for multi-functional skincare."
2026-04-29,Dot & Key,Barrier Repair Moisturizer (Hyaluronic + Ceramides),Moisturizer,"Hyaluronic Acid, Ceramides",599.0,7.17,LOW,NO,"Addresses the strong 'skin barrier' trend, a category Joyun could enter."
2026-04-29,Plum,Wondercolour Glossy Peptide Lip Butter,Lip Care,Triple Peptide Complex,,,MEDIUM,NO,Highlights the growing trend in targeted lip care and the use of advanced ingredients like peptides in accessible Indian brands.
2026-04-29,AUNU,Manuka Cleanser,Cleanser,"Manuka Honey, Glycerin",3507.0,42.0,LOW,NO,"An award-winning cleanser focusing on balancing the skin's microbiome, a key trend for 2026. Represents a category gap for Joyun."
2026-04-29,SIV,Biome Balancing Serum,Serum,Microbiome-balancing ingredients,,,MEDIUM,NO,"Award-winning serum emphasizing microbiome health, a strong positioning trend that Joyun could explore in its serum offerings."
2026-04-29,Illiyoon (Amorepacific),Barrier-focused Face and Body Care Range,"Face Care, Body Care","Soy-Ceramide, Ceramide Skin Complex™ 2.0",,,LOW,NO,"Launched in India by Nykaa, focusing on skin barrier function and hydration for both face and body, indicating demand for these benefits across categories."
2026-04-29,Beauty of Joseon,Day Dew Sunscreen SPF 50+,Sunscreen,"Hyaluronic Acid, Niacinamide, Panthenol",1085.5,13.0,LOW,NO,"A popular K-beauty sunscreen, highlighting the demand for effective and comfortable SPF products, a category gap for Joyun."
2026-04-29,COSRX,Advanced Snail Mucin Eye Patches,Eye Care,Snail Mucin,,,MEDIUM,NO,"Represents a category gap (eye care) and uses snail mucin, an ingredient adjacent to Joyun's vegan mucin, indicating consumer interest in mucin-based products."
2026-04-29,LIXR Beauty,Skin Shake™ Bi-Phase Tinted Serum,Serum,"Tint, Nourishing actives",,,ADJACENT,NO,"An example of a functional hybrid tinted serum and aligns with the emerging trend of waterless skincare, signaling format innovation."
2026-04-29,Evaraa Essential,24K Gold Kumkumadi Cream,Moisturizer,"Kumkumadi, Gold particles (nanotechnology)",,,ADJACENT,NO,"An Indian Ayurvedic brand combining traditional ingredients with nanotechnology for enhanced efficacy, reflecting a trend in the Indian market."
2026-04-29,General Trend,"Advanced Peptides (e.g., Matrixyl, Copper Tripeptide-1)","Serum, Cream",Various Peptides,,,ADJACENT,NO,"The broader trend of advanced peptides for collagen, firmness, and barrier repair presents an opportunity for Joyun to expand its PDRN offerings or introduce new peptide-focused products."
2026-04-29,General Trend,Exosome-based products,Serum,Biotech-derived Exosomes,,,ADJACENT,NO,"Exosomes are a cutting-edge ingredient for cellular communication and regeneration, representing a future innovation for advanced skincare."
2026-04-29,General Trend,Algae-Derived Bioretinol products,"Serum, Cream",Marine Algae Extracts,,,ADJACENT,NO,"This ingredient offers a gentle, plant-based alternative to retinol, appealing to consumers seeking effective yet non-irritating anti-aging solutions, aligning with Joyun's vegan focus."
