Date,Brand,Product,Category,Key_Ingredients,Price_INR,Price_USD,Threat_Level,Direct_Competitor,Notes
2026-04-30,Medicube,PDRN Pink Peptide Serum,Serum,"PDRN, Peptides",1577,18.9,HIGH,YES,"A direct competitor to Joyun's PDRN serum, offering similar benefits at a competitive price point."
2026-04-30,Anua,100 PDRN Hyaluronic Acid Capsule Serum,Serum,"PDRN, Hyaluronic Acid",2285,27.37,HIGH,YES,"Another PDRN serum from a popular K-beauty brand, emphasizing deep hydration, increasing competition in Joyun's core serum category."
2026-04-30,VT Cosmetics,PDRN 100 essence,Essence,"PDRN, Ceramides, Lipids, Panthenol",2171,26.0,HIGH,YES,"A PDRN essence, directly competing with Joyun's essence category, also focuses on barrier strengthening."
2026-04-30,Frankly,PDRN bounce ball serum,Serum,PDRN,1578,18.91,HIGH,YES,"Another affordable PDRN serum, further intensifying competition in the PDRN segment."
2026-04-30,Rejuran,Turnover Ampoule c-PDRN,Ampoule,c-PDRN,4342,52.0,MEDIUM,NO,"A higher-end PDRN product, indicating the premium potential of the ingredient and the 'bio-regenerative' trend, but at a significantly higher price point."
2026-04-30,MEDIHEAL,PDRN LIFTING PAD,Toner Pad,PDRN,,,MEDIUM,NO,"Shows PDRN being incorporated into innovative formats like toner pads, a format innovation Joyun could explore for its essences."
2026-04-30,Bano,PDRN 1000 Cream,Cream,Banana-derived PDRN (vegan),,,MEDIUM,NO,"Highlights the emergence of plant-based (vegan) PDRN, a key trend for sustainable and ethical beauty that Joyun should monitor."
2026-04-30,Anua,PDRN Hyaluronic Acid Moisturizing Cleansing Foam,Cleanser,"PDRN, Hyaluronic Acid",,,LOW,NO,"PDRN extending into the cleanser category, indicating a broader application of the ingredient and a potential category gap for Joyun."
2026-04-30,Rhode,Barrier Restore Cream,Moisturizer,"Barrier-Lipid Complex, Hydrating Emollients, Soothing Actives",,,ADJACENT,NO,"A global brand launching a barrier-focused moisturizer in India, highlighting the strong market demand for this category."
2026-04-30,Dot & Key,Barrier Repair Cream,Moisturizer,"Rice water, 5 Ceramides",395,4.73,ADJACENT,NO,"An Indian competitor with an affordable, barrier-repair focused cream, indicating a strong local market for this segment."
2026-04-30,Youth to the People,Adaptogen Deep Moisture Cream,Moisturizer,"Reishi, Ashwagandha, Snow Mushroom",,,ADJACENT,NO,"Showcases the strong trend of adaptogens and mushrooms in skincare, particularly for soothing and hydration."
2026-04-30,UBeauty,The Barrier Bioactive Mist,Mist,Postbiotic ferment,3173,38.0,ADJACENT,NO,Demonstrates the rising popularity of postbiotics and mist formats for barrier support and convenient application.
2026-04-30,Goop,NAD+ precursors cream,Cream,"NAD+ precursors, Peptides, Postbiotics, Schisandra fruit",,,ADJACENT,NO,"A luxury brand incorporating multiple trending ingredients (peptides, postbiotics, adaptogens) for 'longevity' skincare."
2026-04-30,The Derma Co,Ceramide Barrier Repair Moisturiser,Moisturizer,"Ceramides, Niacinamide, Hyaluronic Acid, Vitamin E",,,ADJACENT,NO,"Reinforces the strong 'skin barrier' trend in the Indian market, with a focus on key repair ingredients."
2026-04-30,Plum,Green Tea Oil-Free Moisturizer,Moisturizer,Green Tea,470,5.63,ADJACENT,NO,"An Indian vegan brand offering an affordable, mattifying, and barrier-safe moisturizer, showing competition in the affordable vegan space."
