Date,Brand,Product,Category,Key_Ingredients,Price_INR,Price_USD,Threat_Level,Direct_Competitor,Notes
2026-05-01,Anua,PDRN 100 Hyaluronic Acid Glow Pad,Toner Pad,"PDRN, Hyaluronic Acid, Collagen",2087.5,25.0,HIGH,YES,"Awarded 'Best Glow Pad' in 2026 New Beauty Awards. Combines PDRN with a popular, convenient format, directly competing with Joyun's PDRN focus."
2026-05-01,COSRX,5 PDRN Collagen Vitalizing Hydrogel Eye Patch,Eye Care,"5-PDRN complex (Salmon, Botanical, Microbial), Vitamin C, Glutathione",,,HIGH,YES,"Expanded PDRN line, gained traction on TikTok for visible under-eye brightening. Introduces PDRN into a new category (eye care) for Joyun."
2026-05-01,Clark's Botanicals,DNA-42 Clinicalift Serum,Serum,"Vegan dual PDRN, Plant-derived exosome technology",12525.0,150.0,HIGH,YES,"Premium product combining PDRN with emerging exosome technology, indicating high-end market potential for these actives."
2026-05-01,Anua,PDRN Hyaluronic Acid Moisturizing Cleansing Foam,Cleanser,"PDRN, Hyaluronic Acid",,,HIGH,YES,"New launch from a K-beauty brand, bringing PDRN benefits to a foundational cleansing step, addressing a category gap for Joyun."
2026-05-01,COSRX,One Step Original Peptide Collagen Lifting Glow Pad,Toner Pad,"Low molecular Collagen, 3 types of Peptides",,,MEDIUM,NO,"Upgraded toner pad line, leveraging peptides and collagen for lifting and glow. Signals strong trend for multi-active pads."
2026-05-01,Glow Recipe,Vitamin C Brightening Toner Pads,Toner Pad,Vitamin C,,,MEDIUM,NO,"New toner pad launch from a popular K-beauty brand, focusing on brightening. Reinforces the popularity of this format."
2026-05-01,Glow Recipe,Watermelon Milk Peptide Glow Cushion Cream,Moisturizer,"Peptides (10+), Watermelon extract, Squalane, Glycerin, Panthenol, Ceramides",,,MEDIUM,NO,"New moisturizer focusing on peptides and barrier repair, highlighting the trend for multi-functional, hydrating creams."
2026-05-01,Beauty of Joseon,Relief Sun: Rice + Probiotics SPF50+,Sunscreen,"Rice extract, Probiotics",1670.0,20.0,LOW,NO,"A viral K-beauty sunscreen, popular for its lightweight, non-greasy formula. Highlights a significant category gap for Joyun."
2026-05-01,Numbuzin,No.1 Clear Filter Sun Essence SPF50+ PA++++,Sunscreen,"Heartleaf, Centella Asiatica, 7 forms of Hyaluronic Acid",,,LOW,NO,"Lightweight K-beauty sunscreen with soothing Centella Asiatica, indicating demand for protective and skin-caring SPF."
2026-05-01,COSRX,Airy-Light Clear Sunscreen Stick SPF 50,Sunscreen,"Vitamins E and C, Hyaluronic Acid, Panthenol",,,LOW,NO,"Innovative stick format for convenient, on-the-go sun protection, signaling a trend in application methods for SPF."
2026-05-01,Beauty of Joseon,Ginseng + Retinal Revive Eye Serum,Eye Care,"Ginseng, Retinal",,,LOW,NO,"Popular K-beauty eye serum combining adaptogens (ginseng) with a potent active (retinal) for anti-aging, addressing a category gap for Joyun."
2026-05-01,Plum,Glassic Lip Balms,Lip Care,Not specified,,,ADJACENT,NO,"New launch from an Indian brand in the lip care category, indicating a potential area for Joyun's expansion."
2026-05-01,Thayers,Exfoliating 2% AHA Pads,Toner Pad,"2% AHA blend (glycolic and lactic acids), Witch Hazel",835.0,10.0,ADJACENT,NO,"Highly affordable toner pads, demonstrating mass market adoption of this format and competitive pricing."
2026-05-01,dsm-firmenich,Exovive Lift (Ingredient Launch),Other,"Plant-derived exosomes (Alpine apple, Mediterranean tangerine, Sicilian papaya)",,,ADJACENT,NO,"Launch of a new plant-derived exosome ingredient for formulators, signaling a major future trend in regenerative skincare."
2026-05-01,Plum,Niacinamide & Rice Water Simply Bright Face Wash,Cleanser,"Niacinamide, Rice Water",,,ADJACENT,NO,"Part of Plum's new Niacinamide range, indicating local competition in actives-led cleansers and a focus on brightening."
