Date,Brand,Product,Category,Key_Ingredients,Price_INR,Price_USD,Threat_Level,Direct_Competitor,Notes
2026-05-05,Foxtale,Cell Renewal Collagen-PDRN Serum,Serum,"Collagen, PDRN",695,8.32,HIGH,YES,Directly competes with Joyun's PDRN serum at a lower price point. Foxtale is a strong Indian DTC brand.
2026-05-05,Conscious Chemist,97% Active Snail Mucin Face Serum,Serum,Snail Mucin (97%),,,HIGH,YES,"Direct competitor in the mucin ingredient space, highlighting the continued popularity of mucin for barrier repair and anti-aging. Joyun's vegan mucin offers a differentiator."
2026-05-05,SELEVE,Glow Caviar PDRN Ampoule,Ampoule,"PDRN, Caviar",,,MEDIUM,YES,"Highlights the 'Derm-Luxury' K-beauty trend and the continued premiumization of PDRN, a core Joyun ingredient."
2026-05-05,COSRX,Advanced Snail 92 All In One Cream,Cream,Snail Mucin (92%),165,1.98,MEDIUM,YES,"A popular, very affordable K-beauty product focusing on snail mucin and barrier-calming performance, making mucin-based treatments highly accessible."
2026-05-05,Foxtale,Hula Hoop Brightening Body Wash,Body Care,Actives (general),399,4.78,LOW,NO,Foxtale's expansion into body care with 'facial-grade actives' indicates a significant market trend and opportunity for Joyun in a category gap.
2026-05-05,Foxtale,Glow Sunscreen SPF 50 PA++++,Sunscreen,"SPF 50, PA++++",495,5.93,LOW,NO,"Sunscreen is a major trend, and Foxtale's launch with high SPF, PA++++, and 'in-vivo testing' sets a high bar in a category gap for Joyun."
2026-05-05,Pond's (HUL),Ultra-Light Biome Gel Moisturiser,Moisturizer,Prebiotics,,,LOW,NO,"HUL's Pond's brand entering the microbiome space shows the mainstreaming of microbiome-friendly products in India, indicating a significant market shift."
2026-05-05,Dermatouch,Ceramide Barrier Repair Moisturizer,Moisturizer,"Ceramide NP, Aquaxyl, Hyaluronic Acid",,,LOW,NO,"Another Indian brand focusing on the crucial skin barrier repair trend with well-known ingredients, reinforcing market demand."
2026-05-05,Foxtale,Overnight Glow Mask,Mask,"Glycolic Acid, Lactic Acid, Mandelic Acids",595,7.13,LOW,NO,Highlights the popularity of overnight masks and the use of AHAs for 'glow' and retexturizing from a competitor.
2026-05-05,Pilgrim,5 Ceramides Barrier Repair Moisturizer,Moisturizer,5 Ceramides,29,0.35,ADJACENT,NO,"This product highlights aggressive pricing in the Indian market for barrier repair, a key trend, making it highly accessible."
2026-05-05,Aqualogica,Barrier+ Hydra Gel Moisturizer,Moisturizer,"5 Ceramides, Avocado",179,2.14,ADJACENT,NO,"Reinforces the strong trend of affordable barrier repair products in India, with a gel formulation suited for humid climates."
2026-05-05,Anua,Brand Entry in India,Other,Natural and active ingredients (brand philosophy),,,ADJACENT,NO,"Anua's entry signifies continued K-beauty influence and a focus on 'clean, calming, and results-driven' formulations, aligning with skinimalism."
2026-05-05,The Inkey List,Exosome Hydro-Glow Complex Serum,Serum,Exosomes,1837,22.0,ADJACENT,NO,"Shows exosomes becoming more accessible in the global market, indicating a key emerging ingredient trend for regenerative beauty."
2026-05-05,Skinfix,Exo + Ectoin Retinol-Alternative Intensive Skin Barrier Repair Baume,Other,"Exosomes, Ectoin, Retinol-Alternative",5761,69.0,ADJACENT,NO,"A premium product combining several hot trends: exosomes, barrier repair, and a gentle retinol alternative, targeting sensitive skin."
