Date,Brand,Product,Category,Key_Ingredients,Price_INR,Price_USD,Threat_Level,Direct_Competitor,Notes
2026-04-28,Haruharu Wonder,Black Rice Probiotics Barrier Essence,Essence,"Fermented rice water, Probiotics",2338,28,MEDIUM,NO,"Leverages fermented actives and probiotics for skin barrier health, a major trend in K-beauty, directly competing in the essence category."
2026-04-28,Jumiso,D-Panthenol Barrier Soothing Cleansing Milk,Cleanser,"Panthenol, Ceramides",2004,24,ADJACENT,NO,"Exemplifies the strong K-beauty trend of barrier repair and gentle cleansing, a potential category gap for Joyun."
2026-04-28,Medicube,Exosome Cica Calming Toner Pads,Toner Pads,"Exosomes, Cica, Niacinamide",2340,28,ADJACENT,NO,"Combines trending ingredients (exosomes, cica) with a popular format innovation (toner pads) for calming and brightening."
2026-04-28,Mixik,Jelly Toner Instantly Hydrating Mist,Toner,Jelly-like textures (specific ingredients not detailed),2088,25,ADJACENT,NO,"Highlights the trend of jelly mists for hydration, a format innovation in K-beauty."
2026-04-28,Dot & Key,Strawberry Dew Tinted Sunscreen SPF 50+ PA++++,Sunscreen,"Tinted, SPF 50+",549,6.57,ADJACENT,NO,"An Indian competitor leveraging the hybrid product trend (tinted sunscreen) at an accessible price point, indicating a category gap for Joyun."
2026-04-28,Dot & Key,Barrier Repair Moisturizer (Hyaluronic + Ceramides),Other,"Hyaluronic Acid, Ceramides",599,7.17,LOW,NO,"Indian competitor focusing on the critical skin barrier repair trend with popular ingredients, relevant for overall skin health positioning."
2026-04-28,Dot & Key,Strawberry Bright 10% Niacinamide Face Serum,Serum,10% Niacinamide,599,7.17,MEDIUM,NO,"An Indian competitor offering a popular active serum at a competitive price, targeting brightening and texture, relevant in the serum category."
2026-04-28,The Derma Co.,10% Niacinamide Face Serum,Serum,10% Niacinamide,,,MEDIUM,NO,"Another prominent Indian brand with a popular Niacinamide serum, indicating strong market demand for this active in the serum category."
2026-04-28,Anua,Barrier Reboot Sebum Cleansing Wash,Cleanser,"Salicylic Acid, ML3 precursors",,,ADJACENT,NO,"Viral K-beauty brand combining an active (BHA) with barrier support in an innovative in-shower format, highlighting a category gap."
2026-04-28,Glow Recipe,Vitamin C Toner Pads,Toner Pads,"5 types of Vitamin C, Caffeine, Guava, Glutathione",,,ADJACENT,NO,"A global brand launching toner pads with multiple brightening and antioxidant ingredients, reinforcing the format innovation trend."
2026-04-28,Vegreen,Fragrance-Free Nature Mucin Serum,Serum,Vegan Mucin (plant-derived),,,HIGH,YES,"A K-beauty brand offering a vegan mucin serum, directly competing with Joyun's ROSE-03 and validating the demand for vegan alternatives."
2026-04-28,COSRX,The Ceramide Skin Barrier Moisturizing Mist,Other,"Ceramides, Cholesterol, Phytosphingosine, Squalane, Panthenol, Allantoin, Hyaluronic Acid",,,LOW,NO,"A popular K-beauty brand emphasizing barrier repair in a convenient mist format, suitable for reapplication and aligning with barrier focus."
2026-04-28,SUYU India,Astaxanthin Advanced Repair Day Cream,Other,Astaxanthin,,,ADJACENT,NO,"An Indian brand focusing on advanced antioxidants and barrier strengthening, aligning with longevity and resilience trends in the local market."
2026-04-28,Shiseido,Benefiance Wrinkle Smoothing Eye Cream,Eye Care,"Hydrating, gentle formula (specific actives not detailed)",,,ADJACENT,NO,"Represents the established J-beauty presence in the eye care category, a potential expansion area for Joyun."
2026-04-28,Generic Trend Product,Tremella Mushroom Hydrating Essence/Serum,Essence|Serum,Tremella Fuciformis (Snow Mushroom),,,ADJACENT,NO,"Snow Mushroom is trending as a 'vegan hyaluronic acid' and adaptogen, offering deep hydration and barrier repair, aligning with vegan and emerging ingredient trends."
